-bash-4.2$ python3 train.py --start_time 50 --sequence_length 200 --filter_size 5,7,10 --fc_hidden_nodes 512 --num_epochs 100
Global var initializer
2018-03-19T18:37:46.563335: step 1, loss 3.06232
2018-03-19T18:37:50.441959: step 2, loss 3.55911
2018-03-19T18:37:54.256380: step 3, loss 3.21446
2018-03-19T18:37:56.265666: step 4, loss 2.67648
2018-03-19T18:38:00.108470: step 5, loss 2.71026
2018-03-19T18:38:03.924933: step 6, loss 2.7614
2018-03-19T18:38:07.546669: step 7, loss 2.62416
2018-03-19T18:38:09.542662: step 8, loss 2.48759
2018-03-19T18:38:13.340299: step 9, loss 2.4285
2018-03-19T18:38:17.065984: step 10, loss 2.4539
train acc: 0.336883   valid acc: 0.293210     test acc:0.246667
2018-03-19T18:38:28.802023: step 11, loss 2.48599
2018-03-19T18:38:30.874632: step 12, loss 2.42401
2018-03-19T18:38:35.562986: step 13, loss 2.36829
2018-03-19T18:38:41.015052: step 14, loss 2.33912
2018-03-19T18:38:44.535003: step 15, loss 2.31751
2018-03-19T18:38:49.354037: step 16, loss 2.34481
2018-03-19T18:38:52.996563: step 17, loss 2.29276
2018-03-19T18:38:56.855525: step 18, loss 2.2549
2018-03-19T18:39:03.569134: step 19, loss 2.26774
2018-03-19T18:39:05.598809: step 20, loss 2.23244
train acc: 0.433857   valid acc: 0.317901     test acc:0.297778
2018-03-19T18:39:18.854204: step 21, loss 2.20076
2018-03-19T18:39:26.508993: step 22, loss 2.21413
2018-03-19T18:39:36.106613: step 23, loss 2.15538
2018-03-19T18:39:41.081336: step 24, loss 2.15338
2018-03-19T18:39:50.180869: step 25, loss 2.11127
2018-03-19T18:39:54.161489: step 26, loss 2.09334
2018-03-19T18:39:58.055885: step 27, loss 2.11718
2018-03-19T18:40:00.161502: step 28, loss 2.05394
2018-03-19T18:40:06.278295: step 29, loss 2.01624
2018-03-19T18:40:12.638343: step 30, loss 2.0121
train acc: 0.510090   valid acc: 0.354938     test acc:0.297778
2018-03-19T18:40:31.257241: step 31, loss 2.00455
2018-03-19T18:40:36.499126: step 32, loss 2.0429
2018-03-19T18:40:42.914293: step 33, loss 1.96616
2018-03-19T18:40:50.399290: step 34, loss 1.92622
2018-03-19T18:40:58.539687: step 35, loss 1.94189
2018-03-19T18:41:02.196842: step 36, loss 1.9614
2018-03-19T18:41:10.668694: step 37, loss 1.89697
2018-03-19T18:41:18.326055: step 38, loss 1.8777
2018-03-19T18:41:26.121411: step 39, loss 1.83898
2018-03-19T18:41:31.144042: step 40, loss 1.8496
train acc: 0.581278   valid acc: 0.342593     test acc:0.317778
2018-03-19T18:41:50.056428: step 41, loss 1.8057
2018-03-19T18:41:58.241518: step 42, loss 1.79417
2018-03-19T18:42:05.323788: step 43, loss 1.79513
2018-03-19T18:42:10.795263: step 44, loss 1.81747
2018-03-19T18:42:17.375829: step 45, loss 1.75254
2018-03-19T18:42:26.590279: step 46, loss 1.74852
2018-03-19T18:42:32.779112: step 47, loss 1.76368
2018-03-19T18:42:35.486932: step 48, loss 1.66838
2018-03-19T18:42:44.186724: step 49, loss 1.69036
2018-03-19T18:42:52.703107: step 50, loss 1.67959
train acc: 0.637332   valid acc: 0.364198     test acc:0.331111
2018-03-19T18:43:09.405408: step 51, loss 1.63021
2018-03-19T18:43:12.384852: step 52, loss 1.63564
2018-03-19T18:43:18.449706: step 53, loss 1.60067
2018-03-19T18:43:24.647401: step 54, loss 1.60572
2018-03-19T18:43:32.168758: step 55, loss 1.57997
2018-03-19T18:43:37.899895: step 56, loss 1.59533
2018-03-19T18:43:45.956978: step 57, loss 1.55201
2018-03-19T18:43:52.273080: step 58, loss 1.54389
2018-03-19T18:44:00.125656: step 59, loss 1.52204
2018-03-19T18:44:03.773241: step 60, loss 1.5426
train acc: 0.722534   valid acc: 0.398148     test acc:0.362222
2018-03-19T18:44:22.611888: step 61, loss 1.48158
2018-03-19T18:44:30.976607: step 62, loss 1.47696
2018-03-19T18:44:39.129391: step 63, loss 1.45569
2018-03-19T18:44:42.651306: step 64, loss 1.49875
2018-03-19T18:44:49.037347: step 65, loss 1.41384
2018-03-19T18:44:55.259322: step 66, loss 1.41848
2018-03-19T18:45:00.878063: step 67, loss 1.41285
2018-03-19T18:45:04.645109: step 68, loss 1.36334
2018-03-19T18:45:10.749649: step 69, loss 1.36946
2018-03-19T18:45:20.070258: step 70, loss 1.30728
train acc: 0.755045   valid acc: 0.367284     test acc:0.377778
2018-03-19T18:45:40.504240: step 71, loss 1.34664
2018-03-19T18:45:44.104200: step 72, loss 1.31982
2018-03-19T18:45:50.175202: step 73, loss 1.29796
2018-03-19T18:45:59.501686: step 74, loss 1.24482
2018-03-19T18:46:06.831117: step 75, loss 1.27645
2018-03-19T18:46:10.193424: step 76, loss 1.28499
2018-03-19T18:46:16.315971: step 77, loss 1.2217
2018-03-19T18:46:22.236769: step 78, loss 1.24783
2018-03-19T18:46:30.836991: step 79, loss 1.21953
2018-03-19T18:46:34.580614: step 80, loss 1.26702
train acc: 0.820628   valid acc: 0.379630     test acc:0.393333
2018-03-19T18:46:53.558873: step 81, loss 1.18899
2018-03-19T18:47:00.182995: step 82, loss 1.16037
2018-03-19T18:47:06.805011: step 83, loss 1.16559
2018-03-19T18:47:10.122882: step 84, loss 1.12733
2018-03-19T18:47:17.382081: step 85, loss 1.12293
2018-03-19T18:47:23.924743: step 86, loss 1.10511
2018-03-19T18:47:30.881121: step 87, loss 1.10328
2018-03-19T18:47:34.626301: step 88, loss 1.13545
2018-03-19T18:47:41.183920: step 89, loss 1.05821
2018-03-19T18:47:51.751511: step 90, loss 1.05257
train acc: 0.860426   valid acc: 0.407407     test acc:0.395556
2018-03-19T18:48:12.462773: step 91, loss 1.05181
2018-03-19T18:48:16.084374: step 92, loss 0.989588
2018-03-19T18:48:22.368654: step 93, loss 1.0081
2018-03-19T18:48:28.493435: step 94, loss 0.975346
2018-03-19T18:48:36.162727: step 95, loss 0.96834
